id,original_path,augmented_path,original_duration,augmented_duration,speed_applied,speed_rate_applied,pitch_applied,noise_applied,time_mask_applied,augmentation_type
125,01469.wav,01469_augmented_pch_msk.wav,14.5867,14.5867,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
126,01477.wav,01477_augmented_spd_nse.wav,10.2667,9.3657,True,1.0962,False,True,False,AugmentationType.SPEED|NOISE
127,01477.wav,01477_augmented_pch_msk.wav,10.2667,10.2667,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
128,01522.wav,01522_augmented_spd_nse.wav,19.2693,20.5144,True,0.9393,False,True,False,AugmentationType.SPEED|NOISE
129,01522.wav,01522_augmented_pch_msk.wav,19.2693,19.2693,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
130,01534.wav,01534_augmented_spd_nse.wav,17.2641,17.408,True,0.9917,False,True,False,AugmentationType.SPEED|NOISE
131,01534.wav,01534_augmented_pch_msk.wav,17.2641,17.2641,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
132,01546.wav,01546_augmented_spd_nse.wav,12.0,12.5111,True,0.9592,False,True,False,AugmentationType.SPEED|NOISE
133,01546.wav,01546_augmented_pch_msk.wav,12.0,12.0,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
134,01551.wav,01551_augmented_spd_nse.wav,13.04,13.2007,True,0.9878,False,True,False,AugmentationType.SPEED|NOISE
135,01551.wav,01551_augmented_pch_msk.wav,13.04,13.04,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
136,01553.wav,01553_augmented_spd_nse.wav,14.768,14.5796,True,1.0129,False,True,False,AugmentationType.SPEED|NOISE
137,01553.wav,01553_augmented_pch_msk.wav,14.768,14.768,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
138,01587.wav,01587_augmented_spd_nse.wav,13.168,14.1107,True,0.9332,False,True,False,AugmentationType.SPEED|NOISE
139,01587.wav,01587_augmented_pch_msk.wav,13.168,13.168,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
140,01588.wav,01588_augmented_spd_nse.wav,16.57,16.0146,True,1.0347,False,False,False,AugmentationType.SPEED|NOISE
141,01588.wav,01588_augmented_pch_msk.wav,16.57,16.57,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
142,01590.wav,01590_augmented_spd_nse.wav,9.0933,8.5337,True,1.0656,False,True,False,AugmentationType.SPEED|NOISE
143,01590.wav,01590_augmented_pch_msk.wav,9.0933,9.0933,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
144,01612.wav,01612_augmented_spd_nse.wav,12.8374,12.2863,True,1.0449,False,True,False,AugmentationType.SPEED|NOISE
145,01612.wav,01612_augmented_pch_msk.wav,12.8374,12.8374,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
146,01613.wav,01613_augmented_spd_nse.wav,12.1227,12.1476,True,0.998,False,True,False,AugmentationType.SPEED|NOISE
147,01613.wav,01613_augmented_pch_msk.wav,12.1227,12.1227,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
148,01639.wav,01639_augmented_spd_nse.wav,18.128,19.7907,True,0.916,False,True,False,AugmentationType.SPEED|NOISE
149,01639.wav,01639_augmented_pch_msk.wav,18.128,18.128,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
150,01674.wav,01674_augmented_spd_nse.wav,18.2667,19.2436,True,0.9492,False,False,False,AugmentationType.SPEED|NOISE
151,01674.wav,01674_augmented_pch_msk.wav,18.2667,18.2667,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
152,01678.wav,01678_augmented_spd_nse.wav,8.1654,8.5725,True,0.9525,False,True,False,AugmentationType.SPEED|NOISE
153,01678.wav,01678_augmented_pch_msk.wav,8.1654,8.1654,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
154,01691.wav,01691_augmented_spd_nse.wav,4.8907,5.4305,True,0.9006,False,True,False,AugmentationType.SPEED|NOISE
155,01691.wav,01691_augmented_pch_msk.wav,4.8907,4.8907,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
156,01694.wav,01694_augmented_spd_nse.wav,4.3467,4.2873,True,1.0138,False,True,False,AugmentationType.SPEED|NOISE
